 TITLE LINE 1 - Subbasin ID 8 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 5.8350000000E+01 4.2012000000E+01 8.7525000000E-01 1.7505000000E-01 0.0000000000E+00 1.4587500000E+00 0.0000000000E+00 2.9175000000E-01 1.2837000000E+01 1.4587500000E-01 5.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 5.8800000000E+01 4.2336000000E+01 8.8200000000E-01 1.7640000000E-01 0.0000000000E+00 1.4700000000E+00 0.0000000000E+00 2.9400000000E-01 1.2936000000E+01 1.4700000000E-01 5.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 5.9250000000E+01 4.2660000000E+01 8.8875000000E-01 1.7775000000E-01 0.0000000000E+00 1.4812500000E+00 0.0000000000E+00 2.9625000000E-01 1.3035000000E+01 1.4812500000E-01 5.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 5.9700000000E+01 4.2984000000E+01 8.9550000000E-01 1.7910000000E-01 0.0000000000E+00 1.4925000000E+00 0.0000000000E+00 2.9850000000E-01 1.3134000000E+01 1.4925000000E-01 6.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 6.0150000000E+01 4.3308000000E+01 9.0225000000E-01 1.8045000000E-01 0.0000000000E+00 1.5037500000E+00 0.0000000000E+00 3.0075000000E-01 1.3233000000E+01 1.5037500000E-01 6.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 6.0600000000E+01 4.3632000000E+01 9.0900000000E-01 1.8180000000E-01 0.0000000000E+00 1.5150000000E+00 0.0000000000E+00 3.0300000000E-01 1.3332000000E+01 1.5150000000E-01 6.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 6.1050000000E+01 4.3956000000E+01 9.1575000000E-01 1.8315000000E-01 0.0000000000E+00 1.5262500000E+00 0.0000000000E+00 3.0525000000E-01 1.3431000000E+01 1.5262500000E-01 6.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 6.1500000000E+01 4.4280000000E+01 9.2250000000E-01 1.8450000000E-01 0.0000000000E+00 1.5375000000E+00 0.0000000000E+00 3.0750000000E-01 1.3530000000E+01 1.5375000000E-01 6.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 6.1950000000E+01 4.4604000000E+01 9.2925000000E-01 1.8585000000E-01 0.0000000000E+00 1.5487500000E+00 0.0000000000E+00 3.0975000000E-01 1.3629000000E+01 1.5487500000E-01 6.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 6.2400000000E+01 4.4928000000E+01 9.3600000000E-01 1.8720000000E-01 0.0000000000E+00 1.5600000000E+00 0.0000000000E+00 3.1200000000E-01 1.3728000000E+01 1.5600000000E-01 6.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 6.3000000000E+01 4.5360000000E+01 9.4500000000E-01 1.8900000000E-01 0.0000000000E+00 1.5750000000E+00 0.0000000000E+00 3.1500000000E-01 1.3860000000E+01 1.5750000000E-01 6.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 6.2250000000E+01 4.4820000000E+01 9.3375000000E-01 1.8675000000E-01 0.0000000000E+00 1.5562500000E+00 0.0000000000E+00 3.1125000000E-01 1.3695000000E+01 1.5562500000E-01 6.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
